                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.57691,                0.49506,                0.96858,                 0.9369,                0.83333,                0.93763,                0.72925,                 0.9155,                 0.7552,                 1.2374,             0.00016972,             0.00016972,             0.00016972
                     79,                0.57164,                0.49215,                0.96454,                0.94903,                0.83333,                0.93427,                0.73093,                0.90667,                0.77538,                 1.2281,             0.00016265,             0.00016265,             0.00016265
                     80,                0.58973,                0.50314,                0.96497,                0.91238,                0.86842,                0.93583,                0.73224,                0.90812,                0.78889,                 1.2524,             0.00015558,             0.00015558,             0.00015558
                     81,                0.59549,                0.51121,                0.97769,                0.92282,                0.86842,                0.93678,                0.72495,                0.92661,                0.80068,                 1.2614,             0.00014851,             0.00014851,             0.00014851
                     82,                0.58603,                0.51249,                0.98764,                0.95175,                0.87719,                0.93292,                0.71063,                0.95132,                0.83563,                 1.3038,             0.00014144,             0.00014144,             0.00014144
                     83,                0.58169,                0.50461,                0.97709,                0.92351,                0.86842,                0.93241,                0.70528,                0.93749,                0.86228,                 1.2946,             0.00013437,             0.00013437,             0.00013437
                     84,                  0.573,                0.50148,                 0.9629,                0.93054,                0.86842,                0.93025,                0.71483,                0.94159,                0.80408,                 1.2841,             0.00012731,             0.00012731,             0.00012731
                     85,                0.57286,                0.51329,                0.98169,                0.90301,                0.86842,                0.92945,                0.72308,                0.91298,                0.79376,                 1.2606,             0.00012024,             0.00012024,             0.00012024
                     86,                0.57748,                0.49867,                0.96522,                0.90754,                0.86099,                0.92929,                0.71611,                 0.9338,                0.81712,                 1.2825,             0.00011317,             0.00011317,             0.00011317
                     87,                0.54584,                0.48454,                 0.9509,                0.91137,                0.84211,                0.92605,                0.72429,                0.93427,                0.82801,                 1.2897,              0.0001061,              0.0001061,              0.0001061
                     88,                0.56407,                0.49387,                0.95986,                0.88445,                0.87284,                 0.9315,                0.73483,                0.93435,                0.80087,                 1.2773,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                 0.5889,                0.50333,                0.97693,                0.93797,                0.84211,                0.93348,                0.74356,                 0.9275,                0.74971,                 1.2738,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.54131,                 0.4751,                0.94548,                0.85303,                0.92982,                 0.9364,                0.74471,                0.94555,                0.71689,                 1.3083,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.48693,                0.46348,                0.88619,                0.86019,                0.92982,                0.93432,                0.72168,                0.96237,                0.71067,                 1.3022,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.46624,                0.43164,                0.86973,                 0.9103,                0.86842,                0.92552,                0.70269,                0.97556,                0.75869,                 1.3238,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.45179,                0.40938,                0.87574,                0.90857,                0.87168,                0.92189,                0.71353,                0.93248,                0.81073,                 1.2947,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.46183,                0.39411,                0.88049,                0.85234,                0.91139,                0.92331,                0.71929,                0.91083,                0.78271,                 1.2851,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.43882,                0.39849,                0.87549,                0.85822,                0.90269,                0.92718,                0.71777,                0.91356,                0.75492,                 1.2666,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                 0.4402,                0.38718,                 0.8686,                0.85045,                0.90351,                0.93055,                0.71385,                 0.9345,                0.74117,                 1.2666,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.42997,                0.37896,                0.86666,                 0.8659,                 0.9063,                0.93345,                0.72176,                0.91678,                0.76289,                 1.2656,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.42837,                0.37558,                0.87129,                 0.9264,                0.83333,                0.93308,                0.72141,                0.91441,                0.76706,                 1.2688,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.43383,                0.38476,                0.86571,                0.93146,                0.83444,                0.93416,                0.72588,                0.90649,                0.76146,                 1.2616,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.42619,                0.37874,                0.86915,                0.87772,                0.88596,                0.93411,                0.72528,                0.90028,                0.74527,                 1.2543,             1.4209e-05,             1.4209e-05,             1.4209e-05
